games,seedStart,rotate,gameOverScore,maxMovesPerGame,monteCarloStrategy,BombContinuationWeight,BombOpeningWeight,ContinuationCountWeight,ContinuationFollowUpWeight,HigherRelatedCombinationContinuationWeight,HigherRelatedCombinationOpeningWeight,LowerValueContinuationWeight,PlayableBombInEndgameWeight,PreferLowerStartWeight,PreferNonBreakableOpeningWeight,PreferShorterStartWeight,PreferSinglesNotBreakingNonWildCombinationsWeight,PreferUsingWildAsHigherCardInContinuationWeight,WildCardContinuationWeight,WildCardOpeningWeight,completedGames,failedGames,heuristicWins,monteCarloWins,heuristicWinRatePct,monteCarloWinRatePct,heuristicAverageScore,monteCarloAverageScore,averageRounds,averageMoves,averageGameElapsedMs,totalGameElapsedMs,timestampUtc
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,2.282,0,1,1,0.069,0.531,0,1,1,1,1,2.528,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:08.0375797Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1.56,1,1,1.177,1.224,1,1,1,2.765,1,1,2.118,1.105,0,2.625,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:09.5284716Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.263,3.68,1,1,0.069,0,0,3.569,1,0,3.184,0,0,2.935,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:11.0010465Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,2.289,1,1.177,1,1,1,0,1.717,3.426,1,1.065,3.558,0,2.625,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:12.4764748Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.727,3.822,3.72,0.29,1,0.069,1,2.444,1,1,0,1,0,1,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:13.7932328Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,1,1,1,1,3.248,2.295,1,0,0.225,0.871,2.749,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:15.2644208Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,0,0,0.519,2.429,1,0.786,0.358,0.684,1,1,1,1.435,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:16.3025394Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,1,1,1,1,1,1,1,0,1,0.886,2.41,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:17.7945938Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,2.958,0,2.584,1,1,1,2.517,1,1,1,1,2.865,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:19.2844841Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,0,2.611,0.519,0.194,1.538,0.048,1,3.668,1.686,1,1,2.938,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:20.4888538Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1.3,3.584,0,0.712,0,0,1,1,1,2.118,1.105,1.363,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:21.8163354Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.778,0,1,1,0,1,2.224,1,1,0,0.211,0,1,3.495,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:23.7385839Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,2.396,1,1,0,0,1,2.738,1,2.87,3.599,1.686,1.182,1,3.537,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:26.1959401Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,2.649,1,1,1,1,0.194,3.654,1,0,1,1.686,3.812,1,1.201,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:28.6276012Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,1.985,0,0,0.409,1,1.406,1,3.218,1,1,1,1,3.316,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:30.5967015Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.996,2.641,1,3.794,1,1,1,1,1,1,2.118,1,1,5.418,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:33.0475008Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1.502,1.742,0,0,1,0,1,1,0.358,1.029,1,0.888,3.283,0.798,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:34.7949454Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,3.584,0,1,0,2.533,3.218,1.029,1,1,1,1.435,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:37.2328667Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.535,2.467,2.832,3.695,1,1,1,1,0.508,1,1,0.989,1.927,1,3.337,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:39.6963000Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.674,1,0,1,1,1,1,1,1,1,0,1,3.804,1.257,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:42.1515438Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,0.335,1,0,0.472,0,1,3.218,0,1,1,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:44.5948560Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,0,0,2.835,1,1,0.276,1.686,0,1,2.616,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:46.6014192Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,3.925,1,1,1,3.602,0,1,0.341,1,1,1,0,0,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:49.0599644Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,0,1,1,3.114,1,1,1,2.52,1,1,0,3.914,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:50.7777266Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,2.924,0.35,0,1,0.558,1,1,2.08,0,0,2.853,0.673,1.814,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:53.2463641Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,3.749,1,1,0,1,1,1,0.756,0.152,1.105,1,5.194,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:55.6920547Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1.737,1.484,1,0.542,1,0,0,1,1,1,0,2.594,1,2.938,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:15:57.9534309Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,0,1,2.857,1,1,1.602,0.43,0,0,0,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:00.1428664Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,1.263,0,1,1,0,2.982,0,1,2.356,1.805,1,0,1,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:01.6517635Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,2.762,1,0.362,3.894,1,1,1.719,3.553,0,1,0,3.815,3.612,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:04.0850332Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.359,0,0,0,0.78,2.937,1,1,2.984,1.199,0,1,0,1.3,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:06.0239285Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,1,0,3.894,1,1,1,2.794,1,1,0,1,1,2.625,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:08.4559336Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,2.042,2.022,0.898,1,1,2.89,1,2.396,0,3.095,0.855,1,1,2.938,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:10.9057882Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,2.168,0,1,1,2.176,1,0,1,0,1,2.096,1.105,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:12.8584673Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.527,1.674,1,2.29,0,1,1,1,1,1,1,1.868,1.559,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:15.3029239Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0.37,0.474,3.442,0,1,1,1.538,2.305,0.358,2.245,2.957,1.407,1,0,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:17.7801156Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.612,0,1,0,1.93,3.057,1.538,1,2.87,3.599,2.955,0,0,1.944,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:20.2400262Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.612,1,0,0,1,1,1,0,1,2.531,0,1,3.411,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:22.1899337Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.538,1,2.457,4.86,2.09,1,1,1,1,1,1.077,1,3.612,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:24.4008694Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.612,0,1,0.215,0,1.216,1,1,0.305,1,1,2.118,1,1.814,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:26.8810909Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,3.894,0,0.526,1,1.507,1,1,0,2.073,3.612,3.997,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:29.1510870Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1.943,0,1,0,1.05,1,0,1,0.184,1.029,1,0,1,3.612,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:31.6017232Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.223,1,2.083,0,0.343,2.92,1,3.218,1,1,1.132,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:34.0332450Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,2.91,1,1,3.685,1,2.297,1,1,1,1.205,0,1.105,1,1.232,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:36.4901326Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,3.244,0,2.13,1,2.497,1,0,1,2.408,0,0.721,0,1.285,0.974,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:38.4217658Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,1.674,1,1,1.216,1,1,1,1,0.771,0,0,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:40.8502848Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,1,0,3.894,1,0,1,0,1.029,1,1,0,5.526,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:43.2893014Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,0,1,3.584,0,1,0.023,1.068,0.358,1.029,1,0.031,1,0,3.156,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:45.7312031Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,0,1,1,0,3.459,1,1.538,1,1,1.234,0,1,1,3.749,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:48.1660985Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.612,1,1,0,0.78,1,0,1,4.175,4.215,0,0,0.847,1.814,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:50.5823197Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,1,1,1,0,1,2.224,3.015,1,1,0,1,1,0.258,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:52.8394638Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,2.229,3.367,0.194,1,1,0,1,1,1,0.661,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:55.2692184Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,2.573,1,2.425,1,1,1.538,1,1,0.656,3.769,2.188,1,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:57.7522618Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1,0,1,0.78,0.119,1,1,2.939,3.599,1.686,1,1,1.814,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:16:59.7380667Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,0,1,1,3.894,3.153,1,3.771,2.033,1.668,1,1,0,3.612,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:17:02.2227847Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,1,1.674,1,1.177,3.438,1,1,1,1,1,1,2.118,1,1,0,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:17:04.4526404Z
5,1,true,250,20000,montecarlo:200:200:8:5:3,3.201,1.674,1,1.856,3.08,1,1,0,0.953,1.569,1,1,0,1,1,0,10,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2026-06-23T20:17:06.9013557Z
